,MedianICC,MedianICCLower,MedianICCHigher
wavelet-HLH_firstorder_Uniformity,0.551568892,0.512178167,0.593396938
wavelet-HLH_firstorder_Variance,0.923749629,0.911990704,0.934840835
wavelet-HHL_firstorder_10Percentile,0.804328855,0.778490084,0.82964501
wavelet-HHL_firstorder_90Percentile,0.817652631,0.793130112,0.841577465
wavelet-HHL_firstorder_Energy,0.994705433,0.993817011,0.99552467
wavelet-HHL_firstorder_Entropy,0.74623046,0.715378484,0.777022625
wavelet-HHL_firstorder_InterquartileRange,0.785679174,0.75810304,0.812858423
wavelet-HHL_firstorder_Kurtosis,0.516493954,0.476857321,0.559056154
wavelet-HHL_firstorder_Maximum,0.763105699,0.733589153,0.792407214
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.822734842,0.798730969,0.846115814
wavelet-HHL_firstorder_Mean,0.7511912,0.720721626,0.781553726
wavelet-HHL_firstorder_Median,0.54974507,0.510332125,0.591621036
wavelet-HHL_firstorder_Minimum,0.769173632,0.740161295,0.797919039
wavelet-HHL_firstorder_Range,0.826487085,0.802872027,0.84946187
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.792227865,0.765247891,0.818764161
wavelet-HHL_firstorder_RootMeanSquared,0.762118321,0.732520935,0.791509323
wavelet-HHL_firstorder_Skewness,0.489651391,0.450082716,0.532505714
wavelet-HHL_firstorder_TotalEnergy,0.994705433,0.993817011,0.99552467
wavelet-HHL_firstorder_Uniformity,0.644756698,0.607906193,0.682743145
wavelet-HHL_firstorder_Variance,0.789378994,0.762137828,0.816196494
wavelet-HHH_firstorder_10Percentile,0.762816865,0.733276637,0.792144587
wavelet-HHH_firstorder_90Percentile,0.766061453,0.73678892,0.795093406
wavelet-HHH_firstorder_Energy,0.994705729,0.993817357,0.995524921
wavelet-HHH_firstorder_Entropy,0.586759911,0.548002748,0.627456446
wavelet-HHH_firstorder_InterquartileRange,0.816587987,0.791957982,0.840625834
wavelet-HHH_firstorder_Kurtosis,0.446526405,0.407524509,0.489351795
wavelet-HHH_firstorder_Maximum,0.785843858,0.758282532,0.813007088
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.8288331,0.805463691,0.851551923
wavelet-HHH_firstorder_Mean,0.562126001,0.522884368,0.603655825
wavelet-HHH_firstorder_Median,0.143461224,0.123491263,0.167621721
wavelet-HHH_firstorder_Minimum,0.754416584,0.724200178,0.784495937
wavelet-HHH_firstorder_Range,0.818482743,0.794044311,0.84231924
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.806302963,0.780655254,0.831416134
wavelet-HHH_firstorder_RootMeanSquared,0.553062274,0.513690518,0.594850292
wavelet-HHH_firstorder_Skewness,0.25084712,0.221225788,0.285471101
wavelet-HHH_firstorder_TotalEnergy,0.994705729,0.993817357,0.995524921
wavelet-HHH_firstorder_Uniformity,0.472548635,0.433137694,0.515465512
wavelet-HHH_firstorder_Variance,0.819393298,0.795047384,0.843132675
wavelet-LLL_firstorder_10Percentile,0.920579199,0.908378967,0.932098281
wavelet-LLL_firstorder_90Percentile,0.942982333,0.933981219,0.951420464
